""Volgnr.""	""Debiteur nr.""	""Debiteur""	""Project""	""Intern steekwoord""	""account manager""	""Factuurdatum""	""Periode""	""Tot. vrk. ex. BTW (CC)""	""Tot. vrk. in. BTW (CC)""	""Betaald (CC)""	""Openstaand (CC)""
""VFA2101833""	""DE1800170""	""Provincie Groningen""	""SCA180259 Eemsdelta - permanente geluidsmonitoring""	""Eemsdelta - permanente geluidsmonitoring""	""Irene Barten""	""30-08-2021""	""2021/08""	""3.892,80""	""4.710,29""	""4.710,29""	""0,00""
""VFA2101832""	""DE1900202""	""Gemeente Vijfheerenlanden""	""SCA160012 Vianen, water""	""""	""Hans Mulder""	""30-08-2021""	""2021/08""	""2.047,50""	""2.477,48""	""2.477,48""	""0,00""
""VFA2101831""	""G0032""	""Gemeente Amersfoort""	""SCA200381 2xSP7 Amersfoort""	""""	""Mirjam Stevens""	""30-08-2021""	""2021/08""	""1.320,00""	""1.597,20""	""1.597,20""	""0,00""
""VFA2101830""	""DE1800186""	""RUD Utrecht""	""""	""""	""Irene Barten""	""30-08-2021""	""2021/08""	""501,50""	""606,82""	""606,82""	""0,00""
""VFA2101829""	""DE1600068""	""AKRON""	""""	""""	""Irene Barten""	""30-08-2021""	""2021/08""	""926,25""	""926,25""	""926,25""	""0,00""
""VFA2101828""	""M0002""	""Stichting RES Axel""	""""	""""	""Irene Barten""	""30-08-2021""	""2021/08""	""27,00""	""32,67""	""32,67""	""0,00""
""VFA2101827""	""DE1800152""	""BOOT organiserend ingenieursburo B.V.""	""""	""""	""Irene Barten""	""30-08-2021""	""2021/08""	""200,00""	""242,00""	""242,00""	""0,00""
""VFA2101826""	""H0054""	""Rumba & CO BVBA""	""""	""""	""Irene Barten""	""26-08-2021""	""2021/08""	""265,00""	""265,00""	""265,00""	""0,00""
""VFA2101825""	""DE1600061""	""Stichting Welcome to the Village""	""""	""Welcome to the Village 2021""	""Ellen Brackel""	""26-08-2021""	""2021/08""	""-1.100,00""	""-1.331,00""	""-1.331,00""	""0,00""
""VFA2101824""	""DE2100268""	""Gemeente Haarlemmermeer""	""""	""""	""George Boersma""	""26-08-2021""	""2021/08""	""30.410,00""	""36.796,10""	""36.796,10""	""0,00""
